start,end,service
2025-09-17 15:20:14+0000,2025-09-17 15:20:23+0000,frontend
2025-09-17 15:20:14+0000,2025-09-17 15:20:24+0000,frontend
2025-09-17 15:20:14+0000,2025-09-17 15:20:38+0000,paymentservice
2025-09-17 15:20:15+0000,2025-09-17 15:20:24+0000,paymentservice
2025-09-17 15:25:09+0000,2025-09-17 15:25:24+0000,adservice
2025-09-17 15:25:10+0000,2025-09-17 15:25:36+0000,redis-cart
2025-09-17 15:25:10+0000,2025-09-17 15:25:29+0000,redis-cart
2025-09-17 15:28:59+0000,2025-09-17 15:29:29+0000,cartservice
2025-09-17 15:28:59+0000,2025-09-17 15:29:12+0000,checkoutservice
2025-09-17 15:29:01+0000,2025-09-17 15:29:22+0000,frontend
2025-09-17 15:29:03+0000,2025-09-17 15:29:10+0000,frontend
2025-09-17 15:29:04+0000,2025-09-17 15:29:22+0000,paymentservice
2025-09-17 15:29:05+0000,2025-09-17 15:29:32+0000,productcatalogservice
2025-09-17 15:29:05+0000,2025-09-17 15:29:14+0000,productcatalogservice
2025-09-17 15:29:06+0000,2025-09-17 15:29:19+0000,shippingservice
2025-09-17 15:31:19+0000,2025-09-17 15:31:48+0000,adservice
2025-09-17 15:31:20+0000,2025-09-17 15:31:37+0000,adservice
2025-09-17 15:31:22+0000,2025-09-17 15:31:40+0000,checkoutservice
2025-09-17 15:31:22+0000,2025-09-17 15:31:47+0000,currencyservice
2025-09-17 15:31:24+0000,2025-09-17 15:31:36+0000,paymentservice
2025-09-17 15:31:25+0000,2025-09-17 15:31:44+0000,productcatalogservice
2025-09-17 15:31:27+0000,2025-09-17 15:31:48+0000,productcatalogservice
2025-09-17 15:31:29+0000,2025-09-17 15:31:46+0000,redis-cart
2025-09-17 15:31:31+0000,2025-09-17 15:31:46+0000,redis-cart
